CustomerId,PLACEMENT,AGE,TENURE,TARIFF,REV_1,REV_2,REV_3,REV_4,REV_5,REV_6,REV_T,MOU_TOT_1,MOU_TOT_2,MOU_TOT_3,MOU_TOT_4,MOU_TOT_5,MOU_TOT_6,NCLL_1,NCLL_2,NCLL_3,NCLL_4,NCLL_5,NCLL_6,CHURN
1193,0,46,5801,2,9,9,9,14.9,17.57,14.5,167.97,0.4,45.07,6.43,18.77,30.85,9.65,1,5,2,8,10,10,0
1194,1,63,2678,2,9.25,9,9,26.67,38.41,38.95,429.53,8.5,8.85,5.86,111.3,177.82,196.29,0,0,0,0,0,1,0
1195,1,62,1761,1,21.75,21,18.5,19.71,15,14.25,360.46,68.93,54.66,27.36,31.9,1.8,2.63,2,0,0,0,1,0,0
1196,0,39,3117,2,9,9,9,30,17.16,20.14,333.8,31.1,16.28,15.9,83.43,36.73,56.83,1,1,1,2,1,2,0
1197,1,43,2429,1,66,69.25,69.5,74.89,53.87,81,1180.01,226.82,245.75,258.05,217.85,152.94,231.19,10,12,18,19,21,22,0
1198,0,45,7074,1,45,41.75,63.25,43.59,40.58,43.25,755.17,234.47,230.61,438.69,179.57,208.63,187.88,9,10,14,13,8,15,0
1199,1,23,263,2,52.75,38.25,35.75,30.6,9,9,239.1,339.17,185.26,198.84,93.22,0,0,7,6,5,5,0,0,0
1200,0,70,5050,2,9,18.25,22.25,24.25,19.5,21.73,297.98,47.38,48.56,54.63,68.63,53.61,42.74,9,6,12,11,8,10,0
1201,1,52,2523,1,25.25,28.25,37.75,26.52,32.32,29,534.59,82.55,101.81,163.18,106.56,129.13,103.22,2,6,7,5,12,7,1
1202,1,40,1634,2,9.5,25,9.5,9,9.6,9.6,400.95,0.63,527.51,6.6,0,0.98,0.59,0,0,0,0,0,0,1
1203,1,23,408,2,41,30,37.25,31.85,27.15,33.19,353.19,184.34,124.3,162.68,125.2,101.01,157.07,0,0,0,0,0,0,0
1204,1,53,1439,2,21,26.5,21.25,16,21,46.35,332.1,46.9,62.67,29.65,26.46,29.96,94.12,9,7,3,1,9,14,1
1205,0,26,585,1,40.5,33,41.75,46.68,40.16,71,806.59,155.28,110.94,121.64,262.51,173.59,238.49,9,9,3,10,11,23,0
1206,0,21,1896,2,9,9,9,18.1,26.82,47.55,223.72,10.42,24.68,55.22,34.25,66.28,95.18,5,3,4,4,11,11,0
1207,1,40,4991,2,27,31,12.75,24.95,26,15.4,595.6,55.92,67.91,27.52,78.37,71.64,36.23,13,8,10,12,9,2,1
1208,1,28,155,2,9,9.5,12.5,22.25,9,11.39,72.64,13.21,52.5,131.09,88.92,0,9.15,0,1,3,2,0,1,1
1209,1,46,1537,1,36.5,31,31,28.25,34.75,28.5,604.5,188.28,96.61,141.32,90.24,132.34,78.6,5,7,5,5,7,7,1
1210,1,28,1745,1,39.25,93.25,76.25,81.19,40.48,39.75,1007.92,153.69,400.38,351.62,360.01,94.85,137.64,16,21,21,25,7,11,0
1211,1,44,2180,2,13.25,22.5,20.5,19.5,19.09,16.38,269.72,61.6,74.24,68.16,58.44,60,41.96,0,0,0,0,0,0,1
1212,1,45,5895,1,36.75,43.25,36,33.18,35.59,45.75,661.52,181.31,263.35,183.29,151.62,192.04,321.12,2,4,7,5,7,2,0
1213,1,45,4396,1,44.5,55.5,38.5,34.77,32.8,33.75,989.82,127.93,126.24,103.53,57.37,100.05,98.31,9,17,16,5,7,7,1
1214,1,88,8234,2,9.25,9.25,17.25,16,12,11.75,190,13.39,17.12,34.6,22.92,9.75,15.34,4,3,7,4,1,2,0
1215,1,33,1066,1,28.5,21.75,23.25,27.12,24.31,23.25,402.43,36.78,80.85,92.73,126.55,94.03,103.48,0,0,1,0,1,0,1
1216,1,92,7169,1,14.25,14.25,14.25,14.25,14.25,14.25,218.34,0,0.45,0,0,29.32,91.62,0,0,0,0,0,1,0
1217,1,58,5280,1,22.5,19,18.25,16.82,15.57,18,415.39,70.78,40.66,32.39,22.21,13.56,39.99,2,0,0,0,0,0,0
1218,1,50,2173,1,37.5,16,16,20,16,27,331,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,1,46,1346,2,9,18.5,14.5,17.9,29.7,17.24,208.84,45.53,64.1,39.87,55.19,123.15,51.52,0,0,0,0,0,0,1
1220,1,32,74,1,14.25,14.25,14.25,15.25,21.5,55.5,92.25,0,0,0,14.07,57.14,407.38,0,0,0,0,0,0,1
1221,1,52,2799,1,14.25,14.5,14.25,14.75,14.25,14.25,392.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,1,30,42,2,9,9,9,9,9,24.81,32.31,0,0,0,0,28.22,89.16,21,13,0,0,0,0,0
1223,1,44,2472,2,9.5,13.25,15,13.25,14,17.22,189.47,32.42,37.44,25.32,14.97,13.79,43.33,1,1,1,1,2,2,1
1224,0,46,2328,2,9,9,9,13.35,15.55,14.23,163.38,16.58,12.88,14.35,12.47,22.12,18.72,4,4,3,3,3,2,0
1225,1,42,1612,2,9,14.25,41,55.47,40.86,54.42,558.71,0,6.87,229.44,257.03,163.16,233.03,0,0,1,12,10,10,0
1226,1,33,4256,2,9.5,19.5,25.75,19.85,16.65,21.17,275.67,51.07,65.19,85.82,59.62,38.2,64.61,5,6,5,3,4,5,1
1227,1,63,9690,1,35.5,27.25,22,17.77,19.07,33.75,557.34,135.54,120.81,44.11,33.24,25.91,153.67,4,2,2,1,1,2,0
1228,1,62,7186,1,31.5,39.5,38.75,47.23,27.87,16.5,641.6,123.57,170.21,176.54,230.71,53.46,0,5,4,7,7,4,0,0
1229,0,41,268,2,9,9,9,22.45,17.95,9,97.87,22.05,29.02,48.15,80.72,53.3,15.78,2,2,4,4,4,3,0
1230,1,45,785,2,9,9,9,9,9.49,9,147.57,7.28,5.19,0.75,0.53,2.46,1.09,0,0,0,0,0,0,0
1231,1,50,4467,2,34.25,27.75,27.25,34.45,32.42,23.06,342.43,103.48,63.64,56.64,82.85,88.86,65.98,3,5,8,9,6,5,0
1232,1,47,3251,2,25.5,28,30.25,23.07,19.27,18.34,290.18,87.37,102.84,95.8,64.64,57.63,52.16,2,1,0,1,0,0,0
1233,1,47,1354,2,10.25,9.25,15.5,24,10.75,18.88,239.13,25.99,27.85,34.76,56.05,2.83,30.21,3,3,7,1,1,3,0
1234,0,47,1983,2,9,9.25,9,9.1,9,16.97,161.07,0,2.38,2.12,0.27,0,48.42,0,0,0,0,0,0,1
1235,1,58,211,1,20.5,21,34,20.75,22.25,27,173,40.94,41.59,120.28,41.91,50.02,70.34,5,3,5,2,3,2,1
1236,1,44,2779,1,14.5,15.75,14.75,15.75,14.5,14.25,263.5,2.32,1.95,5.46,0.11,0.78,2.04,0,0,0,0,0,0,1
1237,1,34,746,1,21.5,25.25,23.75,24.34,20.3,24.75,425.39,57.69,104.6,83.43,73.76,57.31,101.49,0,0,0,2,0,0,0
1238,1,32,1241,2,20,19.25,9.75,18.5,24.46,16.85,217.56,133.1,83.81,47.67,56.01,103.42,45.61,1,0,0,3,2,1,0
1239,1,26,228,1,28,28,27.25,28.41,26.09,23.25,203,125.09,153.17,89.85,107.24,109.35,87.6,0,0,0,0,0,0,0
1240,1,49,184,1,21.25,22,24.5,23.07,20.5,17.5,138.07,40.85,43.52,60.71,47.08,39.09,22.06,3,9,3,4,4,2,1
1241,0,51,5433,2,9,9,9,20.6,25.53,26.02,342.15,0,69.42,121.93,95.38,106.6,94.52,0,5,1,1,3,8,0
1242,1,40,7210,2,9,9,9,10.91,9.34,9,149.25,0,0,0.17,4.72,1.03,0,0,0,2,2,1,0,0
1243,1,55,207,2,9,9,10.25,15.25,9.75,16.88,85.63,6.68,9.53,16.61,23.67,2.26,24.29,0,3,2,5,1,3,0
1244,1,38,1792,1,34,22.5,29.5,24.53,22.18,24,546.96,149.22,68.87,49.82,70.4,68.06,75.86,2,0,2,3,0,0,0
1245,1,38,6832,1,44,53.25,59,60.46,54.68,60.5,908.39,275.23,360.49,392.02,417.84,390.5,417.63,5,7,6,7,4,6,0
1246,1,31,2284,2,21,27.75,46.25,22.22,14.75,23.39,362.11,90.43,96.88,111.17,63.86,9.81,37.79,1,3,4,2,0,2,1
1247,1,48,2053,1,37.75,34.5,38.5,34.78,46.19,34.75,790.88,260.75,174.14,219.57,190.42,259.54,208.38,4,2,1,0,6,2,0
1248,1,60,749,2,43,41,31,35.8,18,40.26,611.56,266.64,232.43,146.01,174.19,1.9,245.78,1,0,1,1,0,2,0
1249,1,39,3616,2,21.25,26.75,15.25,16.95,25.91,20.13,353.49,90.13,118.98,67.5,41.7,111.6,45.64,3,1,0,2,1,2,0
